8;16;28;32;44;57;62;76;88;6;18;26;35;47;51;68;72;82;9;17;27;39;49;59;65;72;86
4;16;24;32;48;55;68;77;84;1;13;26;35;46;53;63;74;84;2;12;29;39;41;56;66;75;82
7;13;29;38;44;55;63;71;86;1;11;23;37;43;56;67;76;88;7;17;29;36;44;57;63;79;90
1;12;22;38;41;54;63;71;81;3;12;29;34;46;53;67;71;83;3;18;23;39;42;57;66;72;90
5;17;23;34;43;51;65;74;87;6;14;27;36;45;53;66;73;89;4;13;29;34;43;51;61;78;86
3;16;22;33;47;55;63;73;89;9;16;22;36;42;55;69;75;85;8;16;29;37;41;59;65;71;87
2;16;23;34;48;59;68;79;88;4;18;26;33;44;57;67;71;87;2;18;28;39;43;56;68;78;89
1;13;21;33;44;57;63;79;90;2;13;22;37;43;53;63;78;90;3;17;29;38;44;51;65;73;82
4;15;26;35;45;59;62;77;82;5;17;28;36;44;59;68;74;83;9;16;22;37;43;56;67;77;85
6;17;22;33;49;57;69;71;81;8;13;28;34;48;53;63;75;90;7;12;21;39;48;53;63;73;81
7;17;25;37;47;55;64;76;83;5;12;24;34;46;59;64;76;87;7;12;24;35;48;59;65;71;85
9;13;27;33;49;54;65;71;85;5;16;29;38;47;53;68;71;83;9;15;21;33;48;58;63;73;84
3;19;24;31;42;54;62;76;85;9;19;27;39;47;52;62;75;90;8;15;25;36;45;53;62;75;85
8;18;23;33;48;54;64;77;90;5;17;27;31;44;54;62;73;84;2;12;29;34;47;52;64;79;90
9;13;22;32;45;57;63;76;83;1;11;29;35;48;53;67;71;87;4;19;24;31;43;59;62;76;89
1;18;22;39;49;54;67;73;82;9;11;28;36;46;56;68;73;86;1;14;23;35;44;53;62;73;86
6;19;24;36;48;54;69;73;85;7;12;24;33;47;57;66;73;82;1;14;21;31;46;54;64;77;86
7;17;25;32;43;53;63;71;89;6;15;25;37;47;51;65;73;89;2;11;22;33;42;57;64;73;84
2;17;28;36;46;51;67;76;90;1;19;23;33;46;57;61;78;89;2;18;28;33;41;57;68;72;88
1;19;24;38;46;59;66;71;84;5;11;24;35;41;57;61;72;89;8;13;24;34;43;52;62;71;89
5;16;28;38;42;52;65;77;83;7;19;29;38;43;57;66;73;85;9;18;28;31;42;59;69;71;81
8;12;28;34;41;59;65;73;81;4;11;24;31;48;54;67;72;87;4;11;24;39;48;54;68;77;82
8;11;23;37;44;53;64;76;85;8;17;23;31;45;52;64;79;86;8;13;22;39;43;57;63;78;84
7;13;27;39;49;51;69;73;90;3;19;21;33;49;53;62;71;84;3;18;23;34;48;53;61;78;87
9;11;27;36;47;54;64;75;84;7;15;23;35;47;59;67;79;86;9;12;26;32;43;52;64;71;82
6;11;21;31;47;56;62;78;82;6;16;25;36;41;52;64;76;89;2;13;29;37;44;52;69;75;83
7;11;22;38;41;56;64;73;89;2;16;21;34;49;58;65;73;83;4;14;24;31;49;57;61;78;87
2;12;26;33;47;54;69;78;81;4;17;27;32;41;57;67;76;83;9;17;29;33;47;58;68;75;90
1;16;25;34;49;51;68;76;84;2;19;26;39;48;54;64;75;81;8;14;24;37;47;59;63;75;84
9;11;23;35;44;52;65;72;82;1;12;24;34;48;52;68;79;86;5;17;28;37;45;55;66;75;88
4;18;25;37;41;58;68;73;81;4;14;27;35;45;55;67;71;89;2;16;21;39;41;53;63;76;89
2;15;23;36;42;54;63;77;83;1;18;27;37;44;51;69;78;82;1;19;24;31;46;54;62;76;88
2;15;23;34;49;54;65;72;88;9;12;27;36;46;51;64;73;87;5;13;25;36;43;58;61;72;83
3;19;28;35;42;57;66;76;85;5;15;27;39;49;51;69;73;83;5;15;25;37;42;56;63;79;88
1;17;21;39;42;52;66;76;88;3;18;21;39;47;59;68;76;81;1;18;25;36;45;56;69;75;83
